Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
12/14/2025,03:00(ET),WAS@IND,WashingtonWizards,"Branham,Malaki",Out,Injury/Illness-RightThumb;Sprain
12/14/2025,03:00(ET),WAS@IND,WashingtonWizards,"Coulibaly,Bilal",Out,Injury/Illness-RightOblique;Strain
12/14/2025,03:00(ET),WAS@IND,WashingtonWizards,"Kispert,Corey",Out,
12/14/2025,03:00(ET),WAS@IND,WashingtonWizards,"Middleton,Khris",Out,Injury/Illness-RightKnee;Contusion
12/14/2025,03:00(ET),WAS@IND,WashingtonWizards,"Sarr,Alex",Out,Injury/Illness-RightAdductor;Strain
12/14/2025,03:00(ET),WAS@IND,IndianaPacers,"Haliburton,Tyrese",Out,
12/14/2025,03:00(ET),WAS@IND,IndianaPacers,"Nesmith,Aaron",Out,Injury/Illness-LeftKneeMCL;Sprain
12/14/2025,03:00(ET),WAS@IND,IndianaPacers,"Sheppard,Ben",Out,Injury/Illness-LeftCalf;Strain
12/14/2025,03:00(ET),WAS@IND,IndianaPacers,"Toppin,Obi",Out,
12/14/2025,03:30(ET),CHA@CLE,CharlotteHornets,"Ball,LaMelo",Out,
12/14/2025,03:30(ET),CHA@CLE,CharlotteHornets,"Connaughton,Pat",Out,Injury/Illness-RightCalf;Strain
12/14/2025,03:30(ET),CHA@CLE,CharlotteHornets,"Mann,Tre",Out,
12/14/2025,03:30(ET),CHA@CLE,CharlotteHornets,"Sexton,Collin",Out,
12/14/2025,03:30(ET),CHA@CLE,CharlotteHornets,"Williams,Grant",Out,Injury/Illness-RightKnee;Surgery
12/14/2025,03:30(ET),CHA@CLE,ClevelandCavaliers,"Merrill,Sam",Out,Injury/Illness-RightHand;Sprain
12/14/2025,03:30(ET),CHA@CLE,ClevelandCavaliers,"Mobley,Evan",Out,Injury/Illness-LeftCalf;Strain
12/14/2025,03:30(ET),CHA@CLE,ClevelandCavaliers,"NanceJr.,Larry",Out,Injury/Illness-RightCalf;Strain
12/14/2025,03:30(ET),CHA@CLE,ClevelandCavaliers,"Strus,Max",Out,
12/14/2025,06:00(ET),MIL@BKN,MilwaukeeBucks,"Antetokounmpo,Giannis",Out,Injury/Illness-RightCalf;Strain
12/14/2025,06:00(ET),MIL@BKN,MilwaukeeBucks,"Green,AJ",Out,Injury/Illness-LeftAcJoint;Sprain
12/14/2025,06:00(ET),MIL@BKN,MilwaukeeBucks,"Prince,Taurean",Out,Injury/Illness-Neck;Surgery
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Highsmith,Haywood",Out,
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Saraf,Ben",Out,Injury/Illness-N/a;Illness
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Thomas,Cam",Out,Injury/Illness-LeftHamstring;Strain
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"OubreJr.,Kelly",Out,Injury/Illness-LeftKnee;Sprain
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Watford,Trendon",Out,Injury/Illness-LeftAdductor;Strain
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Dante,N'Faly",Out,ConcussionProtocol
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Porzingis,Kristaps",Out,Injury/Illness-N/A;Illness
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Toppin,Jacob",Out,
12/14/2025,06:00(ET),MIL@BKN,BrooklynNets,"Young,Trae",Out,
12/14/2025,07:00(ET),NOP@CHI,NewOrleansPelicans,"Murray,Dejounte",Out,Injury/Illness-RightAchilles;Rupture
12/14/2025,07:00(ET),NOP@CHI,NewOrleansPelicans,"Essengue,Noa",Out,Injury/Illness-LeftShoulder;Surgery
12/14/2025,07:00(ET),SAC@MIN,SacramentoKings,"Eubanks,Drew",Out,
12/14/2025,07:00(ET),SAC@MIN,SacramentoKings,"Sabonis,Domantas",Out,
12/14/2025,07:00(ET),SAC@MIN,MinnesotaTimberwolves,"Conley,Mike",Out,
12/14/2025,08:00(ET),LAL@PHX,LosAngelesLakers,"Kleber,Maxi",Out,Injury/Illness-Lumbar;MuscleStrain
12/14/2025,08:00(ET),LAL@PHX,LosAngelesLakers,"Reaves,Austin",Out,Injury/Illness-LeftCalf;Strain
12/14/2025,08:00(ET),LAL@PHX,PhoenixSuns,"Green,Jalen",Out,
12/14/2025,08:00(ET),LAL@PHX,PhoenixSuns,"Livers,Isaiah",Out,Injury/Illness-RightHip;Strain
12/14/2025,09:00(ET),GSW@POR,GoldenStateWarriors,"Horford,Al",Out,Injury/Illness-RightSciaticNerve;
12/14/2025,09:00(ET),GSW@POR,PortlandTrailBlazers,"Henderson,Scoot",Out,Injury/Illness-LeftHamstring;Tear
12/14/2025,09:00(ET),GSW@POR,PortlandTrailBlazers,"Holiday,Jrue",Out,Injury/Illness-RightCalf;Strain
12/14/2025,09:00(ET),GSW@POR,PortlandTrailBlazers,"Lillard,Damian",Out,
12/14/2025,09:00(ET),GSW@POR,PortlandTrailBlazers,"Thybulle,Matisse",Out,
12/14/2025,09:00(ET),GSW@POR,PortlandTrailBlazers,"Wesley,Blake",Out,Injury/Illness-RightFoot;Fracture
